lookback,batch_size,min_obs,val_best_rmse,val_best_epoch,test_mae,test_rmse,test_r2,last_mae,last_rmse,last_r2,week_mae,week_rmse,week_r2
7,32,100,18.455009051556484,2,9.11748925639113,18.61019755631389,0.7773136233250404,9.61774170980831,20.010591384268366,0.7425389538051194,16.588218833076816,26.43452663654495,0.5507017180538298
7,64,100,18.4741937557771,3,9.095321591045757,18.53330683109916,0.7791499439624175,9.61774170980831,20.010591384268366,0.7425389538051194,16.588218833076816,26.43452663654495,0.5507017180538298
7,96,100,18.428007496137727,2,9.097922651854798,18.55386190952996,0.7786597877621814,9.61774170980831,20.010591384268366,0.7425389538051194,16.588218833076816,26.43452663654495,0.5507017180538298
7,128,100,18.337713277023845,1,9.161578035550322,18.500928662915914,0.7799209314689439,9.61774170980831,20.010591384268366,0.7425389538051194,16.588218833076816,26.43452663654495,0.5507017180538298
30,32,123,17.793733730147054,1,8.892583115147437,17.949792469849353,0.797601272486996,9.62271559455136,20.138645183139804,0.7452293384658811,16.466770080953996,26.441746915269515,0.5607930513348043
30,64,123,17.637222067424904,2,8.720600520641622,17.558809319053445,0.8063225584714466,9.62271559455136,20.138645183139804,0.7452293384658811,16.466770080953996,26.441746915269515,0.5607930513348043
30,96,123,17.56572602580962,3,8.704446532744896,17.658202862014523,0.8041236882721619,9.62271559455136,20.138645183139804,0.7452293384658811,16.466770080953996,26.441746915269515,0.5607930513348043
30,128,123,17.701071862381156,2,8.7153479765861,17.595617495012945,0.8055097031900036,9.62271559455136,20.138645183139804,0.7452293384658811,16.466770080953996,26.441746915269515,0.5607930513348043
60,32,123,17.619818832235612,3,8.735494924275274,17.862615734004304,0.8082018523994907,9.639679669336088,20.36510202581438,0.7506970156105959,16.57494187548437,26.83508963371844,0.5671271000791918
60,64,123,17.494161689666303,4,8.652795809130126,17.497565606302068,0.8159611299223545,9.639679669336088,20.36510202581438,0.7506970156105959,16.57494187548437,26.83508963371844,0.5671271000791918
60,96,123,17.365639080936766,6,8.862177385343996,17.979541091741687,0.805682684346298,9.639679669336088,20.36510202581438,0.7506970156105959,16.57494187548437,26.83508963371844,0.5671271000791918
60,128,123,17.452358370553405,5,8.717561030320129,17.627585670257528,0.8132158737557592,9.639679669336088,20.36510202581438,0.7506970156105959,16.57494187548437,26.83508963371844,0.5671271000791918
