epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2,lr,train_eval_loss
1,12.683417724617778,10.913451101874674,22.768587100362748,0.7269331513166308,8.10057544708252,8.505193126972795,17.945989950384526,0.8272433066079776,0.0003,10.496975898742676
2,11.48554967678591,10.696248774995626,22.086911887427235,0.743039237191452,8.068826675415039,8.477101370590296,17.77828978715927,0.8304569450160659,0.0003,10.275408744812012
3,11.146843767376199,10.42815229467979,21.988049732134478,0.7453344281935081,8.047779083251953,8.43910261808825,17.84704503735365,0.8291430372971137,0.0003,10.023326873779297
4,10.874473197869792,10.29292896796613,21.625716996135676,0.7536583498755518,7.947124481201172,8.34737171749591,17.349093229001255,0.8385442173738533,0.0003,9.884319305419922
5,10.634020955552089,10.000335034313627,21.20485120360385,0.7631533348041721,7.970712661743164,8.364616370722636,17.35921201726378,0.8383558255897079,0.0003,9.59768295288086
6,10.555968642759954,9.905371360583244,21.136509918364137,0.7646775446843461,8.033374786376953,8.425487596218007,17.62190286506806,0.8334266007150211,0.0003,9.501687049865723
7,10.165985710295287,9.81536178385141,20.788999635400224,0.7723519163016699,8.108354568481445,8.507840151735394,17.674336753003658,0.8324338492351017,0.00015,9.40418529510498
8,10.018469569966657,9.486124129376496,20.452523701061022,0.779661380138285,8.085678100585938,8.478493003449252,17.599811777418505,0.8338439768715904,0.00015,9.083658218383789
9,9.819862862515555,9.333114777540494,20.22492221322503,0.7845380750706598,8.084693908691406,8.482124977318943,17.61229379172882,0.8336082132935512,0.00015,8.929560661315918
10,9.773067604602696,9.313106628848946,20.068414741524503,0.787859811175061,8.042577743530273,8.436093335067142,17.648594738215504,0.832921601524992,7.5e-05,8.909773826599121
